,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,ust-omchug,61.15,149.63,-3.42,88,99,6.93,RU,1605408487
281,waddan,29.16,16.14,59.32,81,0,6.33,LY,1605408487
282,krasnovishersk,60.41,57.08,2.77,91,14,0.31,RU,1605408487
283,san luis,-33.3,-66.34,56.79,54,1,10.65,AR,1605408488
284,atbasar,51.8,68.33,15.76,96,100,9.62,KZ,1605408488
285,kruisfontein,-34.0,24.73,59.0,93,100,1.01,ZA,1605408444
286,shiojiri,36.1,137.97,61.0,44,75,5.82,JP,1605408371
287,hwange,-18.37,26.5,72.79,72,100,1.52,ZW,1605408489
288,liaocheng,36.44,115.96,63.59,58,95,8.86,CN,1605408489
289,cairns,-16.92,145.77,89.01,58,3,9.17,AU,1605408364
290,fuerte olimpo,-21.04,-57.87,86.38,51,9,9.08,PY,1605408489
291,sola,-13.88,167.55,81.12,81,27,14.9,VU,1605408490
292,los llanos de aridane,28.66,-17.92,75.2,69,0,17.22,ES,1605408490
293,san policarpo,12.18,125.51,82.4,84,15,10.8,PH,1605408490
294,salinopolis,-0.61,-47.36,80.92,82,90,11.01,BR,1605408490
295,coquimbo,-29.95,-71.34,53.6,93,0,4.7,CL,1605408491
296,grande prairie,55.17,-118.8,17.6,92,75,4.7,CA,1605408491
297,porto walter,-8.27,-72.74,74.57,88,96,1.83,BR,1605408492
298,reconquista,-29.15,-59.65,66.06,98,100,8.01,AR,1605408492
299,mount isa,-20.73,139.5,100.4,25,40,12.75,AU,1605408493
300,grand-santi,4.25,-54.38,73.4,95,100,2.57,GF,1605408493
301,basco,20.45,121.97,78.3,80,100,22.15,PH,1605408493
302,cuamba,-14.8,36.54,64.15,70,0,2.24,MZ,1605408494
303,makokou,0.57,12.86,67.62,95,73,1.52,GA,1605408494
304,borodino,55.91,94.9,16.9,94,0,0.83,RU,1605408494
305,vievis,54.77,24.8,37.99,100,90,1.12,LT,1605408495
306,kailua,21.4,-157.74,79.0,65,1,8.05,US,1605408495
307,jingdezhen,29.29,117.21,73.47,48,0,1.83,CN,1605408307
308,moussoro,13.64,16.49,75.24,22,0,13.2,TD,1605408495
309,ostrovnoy,68.05,39.51,34.02,90,100,17.29,RU,1605408496
310,moron,-34.65,-58.62,70.0,77,90,11.41,AR,1605408496
311,alice springs,-23.7,133.88,100.4,19,0,24.16,AU,1605408496
312,maldonado,-34.67,-54.92,66.0,93,0,3.36,UY,1605408495
313,socorro,31.65,-106.3,66.2,19,5,17.22,US,1605408497
314,haimen,23.19,116.61,73.4,69,0,4.47,CN,1605408497
315,port moresby,-9.44,147.18,87.8,66,40,7.85,PG,1605408497
316,pampierstad,-27.78,24.69,70.57,44,20,6.24,ZA,1605408498
317,pangai,-19.8,-174.35,77.76,81,7,13.04,TO,1605408498
318,hambantota,6.12,81.12,80.6,100,20,3.36,LK,1605408498
319,talnakh,69.49,88.4,-4.0,83,75,26.84,RU,1605408499
320,kamarion,36.8,25.82,61.0,65,0,8.01,GR,1605408205
321,pochutla,15.74,-96.47,80.6,78,5,3.78,MX,1605408499
322,darnah,32.77,22.64,65.75,70,5,13.98,LY,1605408500
323,laguna,38.42,-121.42,53.01,71,1,2.37,US,1605408500
324,katsuura,35.13,140.3,66.99,62,20,3.36,JP,1605408434
325,kirakira,-10.45,161.92,86.05,72,44,10.96,SB,1605408500
326,baft,29.23,56.61,39.22,72,0,1.01,IR,1605408501
327,araouane,18.9,-3.53,73.85,20,0,10.76,ML,1605408501
328,kahului,20.89,-156.47,82.4,51,40,17.22,US,1605408259
329,valparaiso,-33.04,-71.63,51.8,93,0,3.36,CL,1605408229
330,paita,-5.09,-81.11,62.64,86,13,8.43,PE,1605408502
331,beloha,-25.17,45.05,65.23,68,0,16.75,MG,1605408502
332,santa catalina,9.33,122.86,87.8,74,75,11.41,PH,1605408502
333,praia,14.92,-23.51,75.2,83,0,14.99,CV,1605408314
334,ciudad real,39.0,-4.0,54.0,94,100,5.99,ES,1605408503
335,lienz,46.83,12.77,32.0,83,0,2.3,AT,1605408503
336,hamilton,39.18,-84.53,55.4,50,90,6.93,US,1605408502
337,buraydah,26.33,43.98,60.8,51,20,5.82,SA,1605408499
338,yarada,17.65,83.27,80.6,69,20,3.36,IN,1605408504
339,coxim,-18.51,-54.76,78.75,70,14,5.73,BR,1605408252
340,sault sainte marie,46.52,-84.33,39.2,69,1,14.99,CA,1605408298
341,hvide sande,56.0,8.13,52.0,78,100,5.99,DK,1605408505
342,benguela,-12.58,13.41,76.01,79,66,3.83,AO,1605408506
343,nome,64.5,-165.41,12.0,83,0,1.99,US,1605408506
344,belmonte,-15.86,-38.88,75.2,88,20,5.82,BR,1605408506
345,corowa,-36.03,146.38,84.2,21,8,12.75,AU,1605408506
346,bafq,31.61,55.41,41.67,62,0,1.03,IR,1605408507
347,luena,-11.78,19.92,58.42,98,87,1.86,AO,1605408507
348,alugan,12.22,125.48,82.24,84,17,10.29,PH,1605408507
349,bambanglipuro,-7.95,110.28,87.84,65,90,10.07,ID,1605408507
350,boyabat,41.47,34.77,43.05,80,40,2.64,TR,1605408508
351,nioki,-2.72,17.68,70.34,94,93,1.05,CD,1605408508
352,nola,40.92,14.53,57.99,60,59,2.33,IT,1605408508
353,iracoubo,5.48,-53.2,79.65,84,100,10.07,GF,1605408508
354,ponta delgada,37.73,-25.67,66.2,93,75,8.05,PT,1605408509
355,castelo do piaui,-5.32,-41.55,83.25,43,100,3.62,BR,1605408509
356,kununurra,-15.77,128.73,91.4,55,73,14.99,AU,1605408453
357,umm lajj,25.02,37.27,72.95,68,0,6.46,SA,1605408510
358,yaan,7.38,8.57,74.37,79,91,3.24,NG,1605408510
359,ust-kulom,61.69,53.69,8.1,93,0,4.09,RU,1605408511
360,bichena,10.45,38.2,47.01,67,53,2.06,ET,1605408511
361,meadow lake,34.8,-106.54,50.0,13,1,12.75,US,1605408305
362,sibu,2.3,111.82,82.4,83,40,4.7,MY,1605408512
363,una,20.82,71.03,80.19,43,60,10.38,IN,1605408512
364,anqing,30.51,117.05,68.36,48,0,2.48,CN,1605408512
365,gisborne,-38.65,178.0,70.0,53,0,4.0,NZ,1605408512
366,arklow,52.79,-6.14,48.99,94,89,3.0,IE,1605408513
367,lesnoy,57.62,63.08,8.2,93,5,7.34,RU,1605408513
368,lagoa,39.05,-27.98,63.18,82,100,11.34,PT,1605408514
369,sungairaya,0.7,108.9,87.51,63,100,3.0,ID,1605408514
370,japura,-0.32,102.35,85.93,72,98,3.65,ID,1605408514
371,naliya,23.27,68.83,76.24,62,0,4.21,IN,1605408514
372,ligayan,4.65,119.47,83.64,73,100,5.59,PH,1605408515
373,maragogi,-9.01,-35.22,76.78,84,1,8.14,BR,1605408381
374,mount gambier,-37.83,140.77,89.6,24,0,17.22,AU,1605408249
375,garowe,8.41,48.48,70.63,72,6,5.91,SO,1605408516
376,vuktyl,63.86,57.31,10.06,93,80,7.4,RU,1605408516
377,buchanan,5.88,-10.05,77.0,100,75,1.45,LR,1605408517
378,dingle,11.0,122.67,85.24,77,100,13.76,PH,1605408517
379,igrim,63.19,64.42,11.25,91,100,4.85,RU,1605408517
380,altayskoye,51.95,85.33,25.45,78,39,3.67,RU,1605408518
381,panguna,-6.32,155.48,80.83,76,38,2.24,PG,1605408518
382,saint-pierre,-21.34,55.48,73.4,64,90,6.93,RE,1605408519
383,smithers,54.78,-127.17,26.6,92,75,5.82,CA,1605408520
384,sorsk,54.0,90.25,14.85,88,0,1.88,RU,1605408520
385,diffa,13.32,12.61,73.98,34,23,11.86,NE,1605408520
386,knysna,-34.04,23.05,57.2,100,100,2.24,ZA,1605408521
387,sebeta,8.92,38.62,53.6,54,0,5.82,ET,1605408521
388,camacupa,-12.02,17.48,61.5,98,99,3.2,AO,1605408521
389,torbay,47.67,-52.73,33.01,97,90,23.04,CA,1605408521
390,bentiu,9.23,29.83,72.12,34,53,4.83,SS,1605408522
391,comodoro rivadavia,-45.87,-67.5,51.8,66,0,4.7,AR,1605408304
392,piacabucu,-10.41,-36.43,77.14,84,13,8.79,BR,1605408522
393,anadyr,64.75,177.48,6.8,71,0,4.47,RU,1605408522
394,aitape,-3.14,142.35,86.02,72,95,9.06,PG,1605408523
395,nova vodolaha,49.72,35.87,30.2,92,40,6.71,UA,1605408523
396,charlottetown,46.24,-63.13,39.2,93,90,5.82,CA,1605408517
397,camabatela,-8.19,15.38,61.36,100,89,1.52,AO,1605408524
398,letpadan,17.78,95.75,77.5,84,0,10.25,MM,1605408524
399,rampura,30.25,75.23,68.68,26,68,13.47,IN,1605408524
400,khorixas,-20.37,14.97,68.5,37,25,0.72,NA,1605408525
401,bahia honda,22.9,-83.16,76.8,87,0,10.96,CU,1605408525
402,novo aripuana,-5.12,-60.38,78.17,84,51,1.92,BR,1605408525
403,lasa,46.62,10.7,32.0,55,5,2.24,IT,1605408526
404,rodrigues alves,-7.74,-72.65,74.86,89,65,1.23,BR,1605408526
405,megion,61.03,76.11,-0.4,84,90,6.71,RU,1605408267
406,kirando,-7.42,30.6,71.11,89,100,4.47,TZ,1605408526
407,rockport,28.02,-97.05,78.01,88,1,13.87,US,1605408505
408,kavaratti,10.57,72.64,83.03,75,100,6.69,IN,1605408527
409,bartica,6.4,-58.62,74.91,96,100,1.74,GY,1605408527
410,boyolangu,-8.12,111.89,84.25,72,85,9.26,ID,1605408527
411,bahia blanca,-38.72,-62.27,54.86,58,94,7.85,AR,1605408481
412,shabo,46.13,30.39,44.6,70,90,4.47,UA,1605408528
413,vila velha,-20.33,-40.29,81.0,88,0,3.36,BR,1605408529
414,bagotville,-28.98,153.42,86.0,74,0,13.87,AU,1605408529
415,pringsewu,-5.36,104.97,87.71,58,40,5.1,ID,1605408530
416,handan,36.6,114.47,60.55,44,82,3.11,CN,1605408530
417,wakkanai,45.41,141.67,53.6,62,40,28.86,JP,1605408530
418,farafangana,-22.82,47.83,69.37,75,99,5.57,MG,1605408530
419,dakar,14.69,-17.44,77.0,38,0,8.05,SN,1605408531
420,deputatskiy,69.3,139.9,-10.97,88,67,3.44,RU,1605408531
421,flinders,-34.58,150.86,82.99,63,0,4.0,AU,1605408531
422,antequera,37.02,-4.56,62.01,93,20,6.93,ES,1605408532
423,eyl,7.98,49.82,74.79,71,1,12.55,SO,1605408532
424,shaoyang,27.23,111.45,68.02,47,3,0.83,CN,1605408532
425,mount hagen,-5.86,144.23,75.2,57,40,9.17,PG,1605408533
426,bodden town,19.28,-81.25,82.0,88,20,8.05,KY,1605408533
427,maloy,61.94,5.11,50.0,76,100,20.8,NO,1605408533
428,batticaloa,7.71,81.69,81.21,78,91,3.02,LK,1605408533
429,motril,36.75,-3.52,60.01,97,70,2.73,ES,1605408534
430,mwense,-10.38,28.7,66.85,94,100,6.82,ZM,1605408534
431,davila,18.47,120.58,86.0,70,75,11.41,PH,1605408534
432,ouro fino,-22.28,-46.37,65.41,85,100,2.77,BR,1605408535
433,hukuntsi,-24.0,21.75,73.22,50,75,3.78,BW,1605408535
434,stornoway,58.21,-6.39,50.0,93,35,11.41,GB,1605408535
435,kupang,-10.17,123.58,93.2,46,20,6.93,ID,1605408536
436,manokwari,-0.87,134.08,85.57,70,37,6.85,ID,1605408536
437,kerema,-7.96,145.78,83.84,75,36,7.83,PG,1605408536
438,dickinson,29.46,-95.05,75.99,94,90,9.17,US,1605408537
439,takoradi,4.88,-1.76,78.48,86,14,6.02,GH,1605408537
440,grottammare,42.99,13.86,50.0,94,13,4.47,IT,1605408537
441,zyryanka,65.75,150.85,-11.78,86,100,9.73,RU,1605408537
442,macau,22.2,113.55,77.0,78,20,10.29,MO,1605408422
443,saint-leu,-21.15,55.28,73.4,64,90,6.93,RE,1605408538
444,baykit,61.67,96.37,0.34,89,9,1.61,RU,1605408538
445,montes altos,-5.83,-47.07,75.45,84,27,3.47,BR,1605408539
446,marang,5.21,103.21,84.2,83,20,2.24,MY,1605408253
447,beringovskiy,63.05,179.32,18.09,87,16,4.12,RU,1605408539
448,tautira,-17.73,-149.15,82.4,74,20,8.05,PF,1605408539
449,chokwe,-24.53,32.98,66.29,73,0,3.31,MZ,1605408540
450,vanavara,60.34,102.28,5.22,94,46,3.62,RU,1605408540
451,kenora,49.82,-94.43,32.0,97,5,10.29,CA,1605408540
452,caldwell,43.66,-116.69,42.8,60,90,4.7,US,1605408541
453,arlit,18.74,7.39,69.01,26,0,6.98,NE,1605408541
454,beatrice,40.27,-96.75,50.0,61,90,10.29,US,1605408541
455,pinkafeld,47.37,16.12,39.99,94,0,2.24,AT,1605408542
456,komsomolskiy,40.43,71.72,37.4,64,40,4.7,UZ,1605408542
457,tandil,-37.32,-59.13,57.0,85,100,5.01,AR,1605408542
458,kloulklubed,7.04,134.26,84.18,77,100,12.41,PW,1605408543
459,nakamura,32.98,132.93,69.21,56,0,4.32,JP,1605408543
460,kieta,-6.22,155.63,85.44,68,22,6.08,PG,1605408543
461,bathsheba,13.22,-59.52,78.8,88,40,13.87,BB,1605408544
462,davidson,36.15,-86.78,68.0,42,75,10.29,US,1605408398
463,chaihe,44.77,129.7,46.54,52,35,6.96,CN,1605408544
464,menongue,-14.66,17.69,63.12,92,100,2.98,AO,1605408544
465,alice,27.75,-98.07,77.0,88,1,9.17,US,1605408523
466,betare oya,5.6,14.08,66.42,60,44,2.89,CM,1605408545
467,tombouctou,20.0,-3.0,72.97,21,0,10.8,ML,1605408546
468,kyaikto,17.3,97.02,82.9,64,0,3.44,MM,1605408546
469,sembe,1.65,14.58,70.56,87,19,1.5,CG,1605408546
470,kavieng,-2.57,150.8,85.68,70,95,12.93,PG,1605408546
471,beihai,21.48,109.1,70.54,76,100,12.44,CN,1605408547
472,mackenzie,55.3,-123.17,28.4,86,90,5.82,CA,1605408304
473,lorengau,-2.02,147.27,86.22,69,96,13.53,PG,1605408548
474,ugoofaaru,5.67,73.0,83.57,76,100,8.25,MV,1605408548
475,hotaka,36.34,137.88,61.0,44,75,5.82,JP,1605408549
476,sibolga,1.74,98.78,86.34,62,99,2.98,ID,1605408550
477,micheweni,-4.97,39.83,77.77,77,0,3.51,TZ,1605408550
478,hurghada,27.26,33.81,69.8,64,0,13.87,EG,1605408550
479,seoul,37.57,126.98,59.0,62,1,5.7,KR,1605408372
480,khilok,51.37,110.47,26.87,86,41,1.88,RU,1605408551
481,kommunisticheskiy,61.68,64.48,7.75,92,35,1.14,RU,1605408551
482,codrington,-38.27,141.97,83.12,52,0,19.89,AU,1605408551
483,vostok,46.49,135.88,36.95,81,22,7.0,RU,1605408551
484,terra santa,-2.1,-56.49,78.71,80,89,4.27,BR,1605408552
485,hay river,60.82,-115.8,6.8,84,99,1.12,CA,1605408552
486,brigantine,39.41,-74.36,48.0,59,1,6.4,US,1605408552
487,gornyye klyuchi,45.25,133.5,48.2,62,55,9.48,RU,1605408553
488,soe,-9.86,124.28,92.01,25,5,9.35,ID,1605408271
489,badou,7.58,0.6,72.9,60,95,1.21,TG,1605408553
490,svetlaya,46.54,138.33,47.93,50,50,9.6,RU,1605408553
491,zhanaozen,43.3,52.8,30.33,93,0,9.51,KZ,1605408554
492,ganta,7.3,-8.53,65.75,65,0,0.94,LR,1605408554
493,bedele,8.46,36.35,50.54,100,0,1.36,ET,1605408555
494,tambopata,-12.73,-69.18,76.6,84,99,1.9,PE,1605408555
495,inegol,40.08,29.51,46.4,100,75,3.36,TR,1605408555
496,pokhara,28.23,83.98,70.0,34,46,1.95,NP,1605408279
497,yangambi,0.81,24.43,67.96,97,100,1.01,CD,1605408556
498,roald,62.58,6.13,48.2,76,100,11.41,NO,1605408556
499,calvinia,-31.47,19.78,52.63,86,97,4.56,ZA,1605408556
500,am timan,11.03,20.28,68.22,25,0,6.8,TD,1605408557
501,trinidad,-14.83,-64.9,80.53,70,49,4.09,BO,1605408557
502,petropavlovsk-kamchatskiy,53.05,158.65,46.4,87,75,8.95,RU,1605408311
503,severnyy,50.68,36.55,31.68,100,75,4.47,RU,1605408557
504,wattegama,6.8,81.48,80.6,100,20,3.36,LK,1605408558
505,minot,48.23,-101.3,33.8,64,90,21.92,US,1605408313
506,leningradskiy,69.38,178.42,5.31,82,24,5.66,RU,1605408558
507,arona,28.1,-16.68,71.01,94,0,14.99,ES,1605408559
508,omboue,-1.57,9.26,75.96,91,83,3.85,GA,1605408559
509,orlik,52.52,99.83,14.41,84,91,0.4,RU,1605408559
510,upata,8.01,-62.4,80.01,89,2,1.01,VE,1605408560
511,tual,-5.67,132.75,84.13,72,0,12.24,ID,1605408560
512,padang,-0.95,100.35,85.75,65,81,2.53,ID,1605408560
513,vaitape,-16.52,-151.75,80.53,73,63,5.99,PF,1605408561
514,grindavik,63.84,-22.43,32.0,83,75,8.05,IS,1605408561
515,baraki barak,33.97,68.95,33.96,91,100,5.06,AF,1605408561
516,caravelas,-17.71,-39.25,75.33,89,100,3.56,BR,1605408562
517,portsmouth,50.8,-1.09,59.0,96,100,10.0,GB,1605408494
518,quang ngai,15.12,108.8,82.54,75,100,8.99,VN,1605408562
519,noumea,-22.28,166.46,87.8,58,40,11.41,NC,1605408549
520,pocoes,-14.53,-40.37,66.33,95,59,4.74,BR,1605408563
521,muscle shoals,34.74,-87.67,64.99,55,1,8.05,US,1605408563
522,opuwo,-18.06,13.84,69.67,60,38,3.51,NA,1605408563
523,aranos,-24.13,19.12,65.7,33,27,7.36,NA,1605408564
524,havre-saint-pierre,50.23,-63.6,30.2,100,90,2.24,CA,1605408564
525,caranavi,-15.82,-67.55,67.44,92,17,2.01,BO,1605408564
526,bassar,9.25,0.78,71.62,49,97,2.21,TG,1605408565
527,cherdyn,60.4,56.48,3.42,93,0,0.85,RU,1605408565
528,olinda,-8.01,-34.86,80.6,78,40,8.05,BR,1605408565
529,jaciara,-15.97,-54.97,74.71,78,100,2.04,BR,1605408566
530,upington,-28.45,21.26,64.4,36,0,5.82,ZA,1605408566
531,broome,42.25,-75.83,33.01,96,1,4.7,US,1605408566
532,kantang,7.41,99.52,84.0,88,20,8.05,TH,1605408566
533,magrath,49.42,-112.87,28.4,54,27,16.11,CA,1605408567
534,sao gabriel da cachoeira,-0.13,-67.09,76.84,81,50,1.36,BR,1605408567
535,lavrentiya,65.58,-171.0,19.67,88,97,7.99,RU,1605408567
536,la sarre,48.8,-79.2,31.06,93,86,9.13,CA,1605408498
537,maceio,-9.67,-35.74,75.2,94,75,3.36,BR,1605408568
538,karratha,-20.74,116.85,91.2,18,0,4.88,AU,1605408378
539,yadgir,16.77,77.13,77.09,59,0,8.57,IN,1605408568
540,narsaq,60.92,-46.05,14.0,61,0,9.17,GL,1605408569
541,barra patuca,15.8,-84.28,78.55,87,86,4.94,HN,1605408569
542,chenzhou,25.8,113.03,70.23,53,75,1.45,CN,1605408569
543,shemgang,27.22,90.66,64.36,29,0,2.01,BT,1605408569
544,pangody,65.85,74.49,-2.16,91,95,10.96,RU,1605408570
545,olafsvik,64.89,-23.71,34.3,89,94,15.21,IS,1605408570
546,la crosse,43.8,-91.24,44.01,93,90,10.45,US,1605408571
547,sambava,-14.27,50.17,75.25,86,95,10.83,MG,1605408571
548,lillooet,50.69,-121.94,39.2,80,90,3.36,CA,1605408571
549,raga,8.46,25.68,70.41,39,89,3.58,SS,1605408571
550,erenhot,43.65,111.98,43.88,56,0,5.3,CN,1605408572
551,farim,12.48,-15.22,68.65,43,0,2.75,GW,1605408572
552,royan,45.63,-1.03,57.2,87,0,13.87,FR,1605408572
553,ilheus,-14.79,-39.05,80.6,83,40,5.82,BR,1605408548
554,ampere,-25.91,-53.47,70.32,71,1,2.35,BR,1605408573
555,zonguldak,41.25,31.83,46.62,83,62,3.36,TR,1605408573
556,parrsboro,45.4,-64.33,39.99,69,78,9.17,CA,1605408573
557,north bend,43.41,-124.22,53.01,87,90,24.16,US,1605408497
558,hualmay,-11.1,-77.61,62.47,87,49,6.02,PE,1605408574
559,rundu,-17.93,19.77,67.51,87,100,5.14,NA,1605408314
560,meulaboh,4.14,96.13,82.76,74,47,4.21,ID,1605408574
561,banihal,33.42,75.2,48.78,49,100,1.79,IN,1605408836
